"player","mapsPlayed","impact","rating"
"fredi",5,-0.000859588159297914,NA
"lsnow",3,-0.000859639280616292,NA
"Jibrix",2,-0.000862212831564331,NA
"TiGER",1,-0.000863895919138535,NA
"flawless",3,-0.000865448386083039,NA
"kenzyy",1,-0.00086580413514884,NA
"BrN",2,-0.000866481565924559,NA
"b0bbzki",8,-0.000866494499064586,NA
"qk-Mantis",2,-0.000867268005365885,NA
"missharvey",2,-0.00086737969572516,NA
"allee",1,-0.000868779847649053,NA
"INX",1,-0.000869771364457618,NA
"oddo",2,-0.000871396231970976,NA
"SpAwNns",2,-0.000874523790411153,NA
"Blogg1s",3,-0.000876717898786049,NA
"nyte",1,-0.000879636333133483,NA
"THRONE",8,-0.000880178809515738,NA
"roma",4,-0.000882748742655711,NA
"jeske",2,-0.000883006633263067,NA
"ye9",2,-0.000884522555690429,NA
"PR1mE",2,-0.000885836679434034,NA
"CEKKA",1,-0.000887133151525967,NA
"lesswill",2,-0.000889019569484839,NA
"SEBU",3,-0.00089295890665079,NA
"ViztA",5,-0.000896756105297798,NA
"NikoHeiseN",1,-0.000896907832807787,NA
"LinCor",1,-0.000897777603426755,NA
"YooNgHwe1",2,-0.000899369197377658,NA
"krecker",9,-0.000899511555323649,NA
"mazi",1,-0.000901583214046776,NA
"DannyG",2,-0.000908190244492463,NA
"Tusi",4,-0.000912506183771305,NA
"threeman",3,-0.000913261100059857,NA
"cype",3,-0.000915282019774273,NA
"emilio",3,-0.000915647505989175,1.08
"kazeMM",1,-0.000918188730202917,NA
"Vladimus",2,-0.000921600177897693,NA
"kanarito",3,-0.000922761417395167,NA
"S3NSEY",10,-0.000922963202200033,NA
"Kre1N",2,-0.000924034726353264,NA
